Date,Day,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
2022-01-01,Saturday,All Day,,Holiday,Bahrain - New Year's Day,,,
2022-01-01,Saturday,All Day,,Holiday,Botswana - New Year's Day,,,
2022-01-01,Saturday,All Day,,Holiday,Brazil - New Year's Day,,,
2022-01-01,Saturday,All Day,,Holiday,Bulgaria - New Year's Day,,,
2022-01-01,Saturday,All Day,,Holiday,Chile - New Year's Day,,,
2022-01-01,Saturday,All Day,,Holiday,Egypt - Bank Holiday,,,
2022-01-01,Saturday,All Day,,Holiday,Japan - New Year's Day,,,
2022-01-01,Saturday,All Day,,Holiday,Kenya - New Year's Day,,,
2022-01-01,Saturday,All Day,,Holiday,Kuwait - New Year's Day,,,
2022-01-01,Saturday,All Day,,Holiday,Mexico - New Year's Day,,,
2022-01-01,Saturday,All Day,,Holiday,Morocco - New Year's Day,,,
2022-01-01,Saturday,All Day,,Holiday,Namibia - New Year's Day,,,
2022-01-01,Saturday,All Day,,Holiday,Nigeria - New Year's Day,,,
2022-01-01,Saturday,All Day,,Holiday,Palestinian Territory - New Year's Day,,,
2022-01-01,Saturday,All Day,,Holiday,Qatar - New Year's Day,,,
2022-01-01,Saturday,All Day,,Holiday,United Arab Emirates - New Year's Day,,,
2022-01-01,Saturday,All Day,,Holiday,Vietnam - New Year's Day,,,
2022-01-01,Saturday,All Day,,Holiday,Zimbabwe - New Year's Day,,,
2022-01-01,Saturday,02:00,USD,Medium,U.S. Baker Hughes Oil Rig Count,480,,480
2022-01-01,Saturday,02:00,USD,Medium,U.S. Baker Hughes Total Rig Count,586,,586
2022-01-01,Saturday,08:00,KRW,Low,Exports (YoY)  (Dec),18.3%,22.0%,32.0%
2022-01-01,Saturday,08:00,KRW,Low,Imports (YoY)  (Dec),37.4%,35.8%,43.6%
2022-01-01,Saturday,08:00,KRW,Low,Trade Balance  (Dec),-0.59B,,3.06B
2022-01-02,Sunday,All Day,,Holiday,Bahrain - New Year's Day,,,
2022-01-02,Sunday,All Day,,Holiday,Botswana - Market Holiday,,,
2022-01-02,Sunday,All Day,,Holiday,Japan - Market Holiday,,,
2022-01-02,Sunday,16:00,EUR,Medium,Spanish Unemployment Change,,,-76.8K
2022-01-03,Monday,All Day,,Holiday,Australia - New Year's Day,,,
2022-01-03,Monday,All Day,,Holiday,Bulgaria - New Year's Day,,,
2022-01-03,Monday,All Day,,Holiday,Canada - New Year's Day,,,
2022-01-03,Monday,All Day,,Holiday,China - New Year's Day,,,
2022-01-03,Monday,All Day,,Holiday,Ireland - New Year's Day,,,
2022-01-03,Monday,All Day,,Holiday,Japan - Market Holiday,,,
2022-01-03,Monday,All Day,,Holiday,Kazakhstan - New Year's Day,,,
2022-01-03,Monday,All Day,,Holiday,Montenegro - New Year's Day,,,
2022-01-03,Monday,All Day,,Holiday,New Zealand - New Year's Day,,,
2022-01-03,Monday,All Day,,Holiday,Rwanda - New Year's Day,,,
