EventId,Date,Time,Actual,Forecast,Previous
CAD::boc interest rate decision::none,2007-01-01,17:00,4.25%,,4.25%
CAD::budget balance::none,2007-01-01,17:00,1.29B,,0.46B
CAD::budget balance::y/y,2007-01-01,17:00,8.20B,,6.91B
CAD::cpi::y/y,2007-01-01,17:00,1.70%,,1.40%
CAD::exports::none,2007-01-01,17:00,40.31B,,37.72B
CAD::foreign securities purchases by canadians::none,2007-01-01,17:00,5.35B,,5.28B
CAD::full employment change::none,2007-01-01,17:00,36.40K,,-11.20K
CAD::ippi::m/m,2007-01-01,17:00,1.40%,,0.10%
CAD::ippi::y/y,2007-01-01,17:00,3.40%,,1.70%
CAD::imports::none,2007-01-01,17:00,34.93B,,34.16B
CAD::ivey pmi n.s.a::none,2007-01-01,17:00,49.40,,52.80
CAD::manufacturing sales::m/m,2007-01-01,17:00,4.90%,,1.90%
CAD::part time employment change::none,2007-01-01,17:00,28.00K,,38.70K
CAD::participation rate::none,2007-01-01,17:00,67.10%,,67.10%
CAD::rmpi::y/y,2007-01-01,17:00,11.40%,,4.70%
CAD::building permits::m/m,2007-01-01,17:00,-8.90%,,2.40%
CAD::cpi::m/m,2007-01-01,17:00,0.20%,,0.20%
CAD::core cpi::m/m,2007-01-01,17:00,-0.20%,,0.20%
CAD::core cpi::y/y,2007-01-01,17:00,2.10%,,2.20%
CAD::core retail sales::m/m,2007-01-01,17:00,2.40%,,-0.10%
CAD::employment change::none,2007-01-01,17:00,64.30K,,27.60K
CAD::foreign securities purchases::none,2007-01-01,17:00,-1.58B,,11.80B
CAD::gdp::m/m,2007-01-01,17:00,0.70%,,0.30%
CAD::housing starts::none,2007-01-01,17:00,210.40K,,235.70K
CAD::new housing price index::m/m,2007-01-01,17:00,0.00%,,0.50%
CAD::rmpi::m/m,2007-01-01,17:00,5.00%,,0.20%
CAD::retail sales::m/m,2007-01-01,17:00,2.10%,,0.70%
CAD::trade balance::none,2007-01-01,17:00,5.38B,,3.56B
CAD::unemployment rate::none,2007-01-01,17:00,6.10%,,6.20%
CAD::wholesale sales::m/m,2007-01-01,17:00,4.70%,,1.00%
GBP::boe interest rate decision::none,2007-01-01,17:00,5.00%,,5.00%
GBP::cpi::y/y,2007-01-01,17:00,3.00%,,2.70%
GBP::average earnings ex bonus::none,2007-01-01,17:00,4.00%,,3.80%
GBP::boe consumer credit::none,2007-01-01,17:00,0.87B,,0.90B
GBP::cbi distributive trades survey::none,2007-01-01,17:00,25.00,,-9.00
GBP::cbi industrial trends orders::none,2007-01-01,17:00,-5.00,,-6.00
GBP::core ppi output::m/m,2007-01-01,17:00,0.00%,,0.00%
GBP::core ppi output::y/y,2007-01-01,17:00,1.30%,,1.50%
GBP::core rpi::m/m,2007-01-01,17:00,0.60%,,0.40%
GBP::core rpi::y/y,2007-01-01,17:00,3.80%,,3.40%
GBP::gfk consumer confidence::none,2007-01-01,17:00,-8.00,,-7.00
GBP::industrial production::y/y,2007-01-01,17:00,-0.60%,,1.40%
GBP::m4 money supply::m/m,2007-01-01,17:00,0.90%,,0.50%
GBP::manufacturing production::y/y,2007-01-01,17:00,2.30%,,3.30%
GBP::mortgage approvals::none,2007-01-01,17:00,119.41K,,130.00K
GBP::mortgage lending::none,2007-01-01,17:00,9.60B,,10.00B
GBP::ppi input::y/y,2007-01-01,17:00,1.30%,,2.30%
GBP::ppi output::m/m,2007-01-01,17:00,0.20%,,-0.10%
GBP::ppi output::y/y,2007-01-01,17:00,1.50%,,1.10%
GBP::public sector net borrowing::none,2007-01-01,17:00,7.12B,,9.55B
GBP::public sector net cash requirement::none,2007-01-01,17:00,13.51B,,7.47B
GBP::rpi::m/m,2007-01-01,17:00,0.80%,,0.30%
GBP::rpi::y/y,2007-01-01,17:00,4.40%,,3.90%
GBP::average earnings index +bonus::none,2007-01-01,17:00,4.70%,,4.10%
GBP::brc retail sales monitor::y/y,2007-01-01,17:00,2.50%,,0.50%
GBP::cpi::m/m,2007-01-01,17:00,0.60%,,0.30%
GBP::claimant count change::none,2007-01-01,17:00,-9.40K,,-9.30K
GBP::core retail sales::m/m,2007-01-01,17:00,0.60%,,0.20%
GBP::core retail sales::y/y,2007-01-01,17:00,2.70%,,1.80%
GBP::halifax house price index::m/m,2007-01-01,17:00,-1.80%,,2.10%
GBP::halifax house price index::y/y,2007-01-01,17:00,9.90%,,9.60%
GBP::industrial production::m/m,2007-01-01,17:00,-0.90%,,0.50%
GBP::manufacturing production::m/m,2007-01-01,17:00,-0.30%,,0.50%
GBP::nationwide hpi::m/m,2007-01-01,17:00,1.60%,,1.60%
GBP::nationwide hpi::y/y,2007-01-01,17:00,10.50%,,9.60%
GBP::ppi input::m/m,2007-01-01,17:00,0.90%,,1.30%
GBP::retail sales::m/m,2007-01-01,17:00,0.20%,,0.20%
GBP::retail sales::y/y,2007-01-01,17:00,3.60%,,3.10%
GBP::trade balance::none,2007-01-01,17:00,-7.08B,,-6.97B
GBP::trade balance non - eu::none,2007-01-01,17:00,-4.11B,,-4.04B
GBP::unemployment rate::none,2007-01-01,17:00,5.50%,,5.40%
MXN::consumer confidence::none,2007-01-01,17:00,107.60,,108.70
MXN::consumer confidence n.s.a.::none,2007-01-01,17:00,109.70,,105.90
MXN::core cpi::m/m,2007-01-01,17:00,0.40%,,0.26%
MXN::economic activity::m/m,2007-01-01,17:00,0.57%,,-0.13%
MXN::economic activity::y/y,2007-01-01,17:00,2.98%,,3.76%
MXN::fiscal balance::none,2007-01-01,17:00,-148.58B,,1.69B
MXN::gross fixed investments::m/m,2007-01-01,17:00,2.34%,,0.11%
MXN::gross fixed investments::y/y,2007-01-01,17:00,4.86%,,6.55%
MXN::industrial production::m/m,2007-01-01,17:00,-0.49%,,0.09%
MXN::industrial production::y/y,2007-01-01,17:00,0.10%,,3.03%
MXN::trade balance::none,2007-01-01,17:00,-1.16B,,-1.61B
MXN::trade balance (usd)::none,2007-01-01,17:00,-0.78B,,-0.92B
MXN::unemployment rate::none,2007-01-01,17:00,3.79%,,3.76%
MXN::unemployment rate n.s.a.::none,2007-01-01,17:00,3.32%,,3.50%
MXN::cpi::m/m,2007-01-01,17:00,0.58%,,0.52%
MXN::cpi::y/y,2007-01-01,17:00,4.05%,,4.09%
MXN::interest rate decision::none,2007-01-01,17:00,7.00%,,7.00%
SEK::consumer confidence::none,2007-01-01,17:00,108.20,,108.10
SEK::cpi::m/m,2007-01-01,17:00,0.00%,,0.10%
SEK::cpi::y/y,2007-01-01,17:00,1.60%,,1.70%
USD::10 - year note auction::none,2007-01-01,17:00,4.63%,,4.63%
USD::average hourly earnings::m/m,2007-01-01,17:00,0.40%,,0.20%
USD::cb consumer confidence::none,2007-01-01,17:00,110.00,,105.30
USD::chicago pmi::none,2007-01-01,17:00,51.60,,51.10
USD::core pce price index::m/m,2007-01-01,17:00,0.20%,,0.00%
USD::core pce price index::y/y,2007-01-01,17:00,2.10%,,2.10%
USD::core retail sales::m/m,2007-01-01,17:00,1.90%,,0.00%
USD::crude oil inventories::none,2007-01-01,17:00,-4.82M,,1.25M
USD::existing home sales::none,2007-01-01,17:00,6.40M,,6.34M
USD::ism manufacturing pmi::none,2007-01-01,17:00,51.40,,50.30
USD::ism manufacturing prices::none,2007-01-01,17:00,47.50,,53.50
USD::ism non - manufacturing pmi::none,2007-01-01,17:00,53.70,,54.50
USD::ism non - manufacturing prices::none,2007-01-01,17:00,60.50,,56.70
USD::initial jobless claims::none,2007-01-01,17:00,323.43K,,327.05K
USD::jolts job openings::none,2007-01-01,17:00,4.55M,,4.62M
USD::new home sales::none,2007-01-01,17:00,998.00K,,"1,003.00K"
USD::philadelphia fed manufacturing index::none,2007-01-01,17:00,-1.70,,5.00
USD::retail sales::m/m,2007-01-01,17:00,1.50%,,0.20%
USD::all car sales::none,2007-01-01,17:00,7.94M,,7.42M
USD::all truck sales::none,2007-01-01,17:00,8.63M,,8.70M
USD::average weekly hours::none,2007-01-01,17:00,34.70,,34.50
USD::cb employment trends index::none,2007-01-01,17:00,126.30,,125.60
"USD::cpi index, n.s.a.::none",2007-01-01,17:00,201.80,,201.50
USD::capacity utilization rate::none,2007-01-01,17:00,80.30%,,79.70%
USD::chain store sales::m/m,2007-01-01,17:00,3.30%,,2.50%
USD::chain store sales::w/w,2007-01-01,17:00,1.04%,,-0.34%
USD::chain store sales::y/y,2007-01-01,17:00,2.55%,,2.45%
USD::challenger job cuts::none,2007-01-01,17:00,54.64K,,76.77K
USD::chicago fed national activity::none,2007-01-01,17:00,0.87,,-0.19
