EventId,Date,Time,Actual,Forecast,Previous
CAD::budget balance::none,2008-01-01,17:00,1.84B,,0.49B
CAD::budget balance::y/y,2008-01-01,17:00,8.45B,,6.60B
CAD::cpi::y/y,2008-01-01,17:00,2.40%,,2.50%
CAD::exports::none,2008-01-01,17:00,36.04B,,37.64B
CAD::foreign securities purchases by canadians::none,2008-01-01,17:00,2.99B,,-2.40B
CAD::full employment change::none,2008-01-01,17:00,5.30K,,14.80K
CAD::ippi::m/m,2008-01-01,17:00,1.10%,,0.70%
CAD::ippi::y/y,2008-01-01,17:00,-0.50%,,-0.30%
CAD::imports::none,2008-01-01,17:00,34.08B,,33.87B
CAD::ivey pmi n.s.a::none,2008-01-01,17:00,45.90,,58.70
CAD::manufacturing sales::m/m,2008-01-01,17:00,-3.60%,,1.00%
CAD::part time employment change::none,2008-01-01,17:00,-1.90K,,1.60K
CAD::participation rate::none,2008-01-01,17:00,67.60%,,67.70%
CAD::rmpi::y/y,2008-01-01,17:00,10.70%,,15.30%
CAD::building permits::m/m,2008-01-01,17:00,0.00%,,-9.30%
CAD::cpi::m/m,2008-01-01,17:00,0.10%,,0.30%
CAD::core cpi::m/m,2008-01-01,17:00,-0.30%,,0.00%
CAD::core cpi::y/y,2008-01-01,17:00,1.50%,,1.60%
CAD::core retail sales::m/m,2008-01-01,17:00,0.90%,,2.00%
CAD::employment change::none,2008-01-01,17:00,3.40K,,16.40K
CAD::foreign securities purchases::none,2008-01-01,17:00,1.84B,,-4.68B
CAD::gdp::m/m,2008-01-01,17:00,-0.30%,,0.20%
CAD::housing starts::none,2008-01-01,17:00,174.80K,,235.50K
CAD::new housing price index::m/m,2008-01-01,17:00,0.10%,,0.50%
CAD::rmpi::m/m,2008-01-01,17:00,0.90%,,3.00%
CAD::retail sales::m/m,2008-01-01,17:00,1.90%,,1.90%
CAD::trade balance::none,2008-01-01,17:00,1.96B,,3.77B
CAD::unemployment rate::none,2008-01-01,17:00,6.00%,,6.00%
CAD::wholesale sales::m/m,2008-01-01,17:00,-2.70%,,0.00%
GBP::cpi::y/y,2008-01-01,17:00,2.10%,,2.10%
GBP::average earnings ex bonus::none,2008-01-01,17:00,4.00%,,4.20%
GBP::boe consumer credit::none,2008-01-01,17:00,0.10B,,0.82B
GBP::cbi distributive trades survey::none,2008-01-01,17:00,8.00,,13.00
GBP::cbi industrial trends orders::none,2008-01-01,17:00,2.00,,8.00
GBP::core ppi output::m/m,2008-01-01,17:00,0.20%,,0.10%
GBP::core ppi output::y/y,2008-01-01,17:00,1.60%,,1.40%
GBP::core rpi::m/m,2008-01-01,17:00,0.50%,,0.40%
GBP::core rpi::y/y,2008-01-01,17:00,3.10%,,3.20%
GBP::gfk consumer confidence::none,2008-01-01,17:00,-14.00,,-10.00
GBP::industrial production::y/y,2008-01-01,17:00,0.60%,,0.10%
GBP::m4 money supply::m/m,2008-01-01,17:00,1.40%,,0.20%
GBP::manufacturing production::y/y,2008-01-01,17:00,-0.30%,,-0.10%
GBP::mortgage approvals::none,2008-01-01,17:00,75.22K,,80.95K
GBP::mortgage lending::none,2008-01-01,17:00,6.85B,,7.33B
GBP::ppi input::y/y,2008-01-01,17:00,13.50%,,12.30%
GBP::ppi output::m/m,2008-01-01,17:00,0.40%,,0.80%
GBP::ppi output::y/y,2008-01-01,17:00,4.60%,,4.40%
GBP::public sector net borrowing::none,2008-01-01,17:00,8.20B,,10.99B
GBP::public sector net cash requirement::none,2008-01-01,17:00,16.81B,,10.01B
GBP::rpi::m/m,2008-01-01,17:00,0.60%,,0.40%
GBP::rpi::y/y,2008-01-01,17:00,4.00%,,4.30%
GBP::average earnings index +bonus::none,2008-01-01,17:00,4.00%,,4.80%
GBP::brc retail sales monitor::y/y,2008-01-01,17:00,0.30%,,1.20%
GBP::cpi::m/m,2008-01-01,17:00,0.60%,,0.30%
GBP::claimant count change::none,2008-01-01,17:00,-10.00K,,-11.10K
GBP::core retail sales::m/m,2008-01-01,17:00,-0.80%,,0.40%
GBP::core retail sales::y/y,2008-01-01,17:00,1.10%,,2.50%
GBP::halifax house price index::m/m,2008-01-01,17:00,1.00%,,-1.30%
GBP::halifax house price index::y/y,2008-01-01,17:00,5.20%,,6.30%
GBP::industrial production::m/m,2008-01-01,17:00,-0.40%,,0.20%
GBP::manufacturing production::m/m,2008-01-01,17:00,-0.50%,,0.80%
GBP::nationwide hpi::m/m,2008-01-01,17:00,-0.30%,,-1.00%
GBP::nationwide hpi::y/y,2008-01-01,17:00,4.80%,,6.90%
GBP::ppi input::m/m,2008-01-01,17:00,2.00%,,3.70%
GBP::retail sales::m/m,2008-01-01,17:00,-0.40%,,0.50%
GBP::retail sales::y/y,2008-01-01,17:00,2.70%,,2.50%
GBP::trade balance::none,2008-01-01,17:00,-8.02B,,-8.82B
GBP::trade balance non - eu::none,2008-01-01,17:00,-4.41B,,-5.06B
GBP::unemployment rate::none,2008-01-01,17:00,5.20%,,5.20%
MXN::consumer confidence::none,2008-01-01,17:00,103.70,,102.50
MXN::consumer confidence n.s.a.::none,2008-01-01,17:00,105.60,,100.00
MXN::core cpi::m/m,2008-01-01,17:00,0.38%,,0.23%
MXN::economic activity::m/m,2008-01-01,17:00,0.54%,,-0.60%
MXN::economic activity::y/y,2008-01-01,17:00,2.94%,,3.45%
MXN::fiscal balance::none,2008-01-01,17:00,-187.29B,,3.59B
MXN::gross fixed investments::m/m,2008-01-01,17:00,-0.04%,,0.58%
