EventId,Cur,Event,Period,Date,Time,ActualRaw,ActualEffective,ActualRevisedFrom,Forecast,PreviousRaw,Previous,PreviousRevisedFrom
NA::argentina - new year's day::none,,Argentina - New Year's Day,,2012-01-01,All Day,,,,,,,
NA::bahrain - new year's day::none,,Bahrain - New Year's Day,,2012-01-01,All Day,,,,,,,
NA::denmark - new year's day::none,,Denmark - New Year's Day,,2012-01-01,All Day,,,,,,,
NA::jordan - new year's day::none,,Jordan - New Year's Day,,2012-01-01,All Day,,,,,,,
NA::lebanon - new year's day::none,,Lebanon - New Year's Day,,2012-01-01,All Day,,,,,,,
NA::morocco - new year's day::none,,Morocco - New Year's Day,,2012-01-01,All Day,,,,,,,
USD::10 - year note auction::none,USD,10-Year Note Auction  (Dec),dec,2012-01-01,17:00,2.00%,1.900%,2.00%,,2.00%,2.00%,
MXN::1st half - month cpi::none,MXN,1st Half-Month CPI  (Dec),dec,2012-01-01,17:00,0.61%,0.61%,,,0.97%,0.97%,
MXN::1st half - month core cpi::none,MXN,1st Half-Month Core CPI  (Dec),dec,2012-01-01,17:00,0.20%,0.20%,,,0.25%,0.25%,
USD::3 - year note auction::none,USD,3-Year Note Auction  (Dec),dec,2012-01-01,17:00,0.25%,0.25%,,,0.38%,0.38%,
USD::30 - year bond auction::none,USD,30-Year Bond Auction  (Dec),dec,2012-01-01,17:00,3.13%,2.985%,3.13%,,3.13%,3.13%,
USD::5 - year tips auction::none,USD,5-Year TIPS Auction  (Dec),dec,2012-01-01,17:00,0.13%,0.13%,,,0.13%,0.13%,
USD::52 - week bill auction::none,USD,52-Week Bill Auction  (Dec),dec,2012-01-01,17:00,0.11%,0.11%,,,0.10%,0.10%,
USD::6 - month bill auction::none,USD,6-Month Bill Auction  (Dec),dec,2012-01-01,17:00,0.06%,0.06%,,,0.07%,0.07%,
USD::7 - year note auction::none,USD,7-Year Note Auction  (Dec),dec,2012-01-01,17:00,1.38%,1.38%,,,1.38%,1.38%,
USD::all car sales::none,USD,All Car Sales  (Dec),dec,2012-01-01,17:00,6.31M,6.31M,,,6.28M,6.28M,
USD::all truck sales::none,USD,All Truck Sales  (Dec),dec,2012-01-01,17:00,7.19M,7.19M,,,6.98M,6.98M,
GBP::average earnings ex bonus::none,GBP,Average Earnings ex Bonus  (Dec),dec,2012-01-01,17:00,1.90%,1.90%,,,1.90%,1.90%,
INR::bank loan growth::none,INR,Bank Loan Growth  (Dec),dec,2012-01-01,17:00,16.75%,16.75%,,,17.93%,17.93%,
GBP::boe consumer credit::none,GBP,BoE Consumer Credit  (Dec),dec,2012-01-01,17:00,-0.79B,-0.79B,,,0.26B,0.26B,
GBP::boe qe total::none,GBP,BoE QE Total  (Dec),dec,2012-01-01,17:00,275.00B,275.00B,,,275.00B,275.00B,
CAD::budget balance::none,CAD,Budget Balance  (Dec),dec,2012-01-01,17:00,-0.54B,-0.54B,,,-1.63B,-1.63B,
CAD::budget balance::y/y,CAD,Budget Balance (YoY)  (Dec),dec,2012-01-01,17:00,-17.69B,-17.69B,,,-17.34B,-17.34B,
USD::building permits::m/m,USD,Building Permits (MoM)  (Dec),dec,2012-01-01,17:00,-0.10%,-0.10%,,,5.70%,5.70%,
USD::cb employment trends index::none,USD,CB Employment Trends Index  (Dec),dec,2012-01-01,17:00,109.30,109.30,,,108.10,108.10,
GBP::cpi::m/m,GBP,CPI (MoM)  (Dec),dec,2012-01-01,17:00,0.40%,0.40%,,,0.20%,0.20%,
KRW::cpi::m/m,KRW,CPI (MoM)  (Dec),dec,2012-01-01,17:00,0.40%,0.40%,,,0.10%,0.10%,
MXN::cpi::m/m,MXN,CPI (MoM)  (Dec),dec,2012-01-01,17:00,0.82%,0.82%,,,1.08%,1.08%,
SEK::cpi::m/m,SEK,CPI (MoM)  (Dec),dec,2012-01-01,17:00,0.20%,0.20%,,,0.20%,0.20%,
CAD::cpi::y/y,CAD,CPI (YoY)  (Dec),dec,2012-01-01,17:00,2.30%,2.30%,,,2.90%,2.90%,
CHF::cpi::y/y,CHF,CPI (YoY)  (Dec),dec,2012-01-01,17:00,-0.70%,-0.70%,,,-0.50%,-0.50%,
"USD::cpi index, n.s.a.::none",USD,"CPI Index, n.s.a.  (Dec)",dec,2012-01-01,17:00,225.67,225.67,,,226.23,226.23,
SEK::cpif (cpi at constant interest rates)::m/m,SEK,CPIF (CPI at constant interest rates) (MoM)  (Dec),dec,2012-01-01,17:00,0.00%,0.00%,,,0.20%,0.20%,
SEK::cpif (cpi at constant interest rates)::y/y,SEK,CPIF (CPI at constant interest rates) (YoY)  (Dec),dec,2012-01-01,17:00,0.50%,0.50%,,,1.10%,1.10%,
INR::cash reserve ratio::none,INR,Cash Reserve Ratio  (Dec),dec,2012-01-01,17:00,6.00%,6.00%,,,6.00%,6.00%,
USD::chain store sales::m/m,USD,Chain Store Sales (MoM)  (Dec),dec,2012-01-01,17:00,3.50%,3.50%,,,2.80%,2.80%,
USD::chain store sales::w/w,USD,Chain Store Sales (WoW)  (Dec),dec,2012-01-01,17:00,1.02%,1.02%,,,0.12%,0.12%,
USD::chain store sales::y/y,USD,Chain Store Sales (YoY)  (Dec),dec,2012-01-01,17:00,4.28%,4.28%,,,3.26%,3.26%,
USD::challenger job cuts::none,USD,Challenger Job Cuts  (Dec),dec,2012-01-01,17:00,41.79K,41.79K,,,42.47K,42.47K,
USD::cleveland cpi::m/m,USD,Cleveland CPI (MoM)  (Dec),dec,2012-01-01,17:00,0.20%,0.20%,,,0.20%,0.20%,
MXN::consumer confidence::none,MXN,Consumer Confidence  (Dec),dec,2012-01-01,17:00,90.60,90.60,,,91.50,91.50,
SEK::consumer confidence::none,SEK,Consumer Confidence  (Dec),dec,2012-01-01,17:00,91.40,91.40,,,90.20,90.20,
MXN::consumer confidence n.s.a.::none,MXN,Consumer Confidence n.s.a.  (Dec),dec,2012-01-01,17:00,90.80,90.80,,,89.50,89.50,
MXN::core cpi::m/m,MXN,Core CPI (MoM)  (Dec),dec,2012-01-01,17:00,0.51%,0.51%,,,0.32%,0.32%,
CAD::core cpi::y/y,CAD,Core CPI (YoY)  (Dec),dec,2012-01-01,17:00,1.90%,1.90%,,,2.10%,2.10%,
USD::core cpi index::none,USD,Core CPI Index  (Dec),dec,2012-01-01,17:00,227.33,227.33,,,226.94,226.94,
USD::core pce price index::y/y,USD,Core PCE Price Index (YoY)  (Dec),dec,2012-01-01,17:00,2.00%,2.00%,,,1.80%,1.80%,
USD::core ppi::y/y,USD,Core PPI (YoY)  (Dec),dec,2012-01-01,17:00,2.60%,2.60%,,,2.70%,2.70%,
GBP::core ppi output::m/m,GBP,Core PPI Output (MoM)  (Dec),dec,2012-01-01,17:00,0.10%,0.10%,,,-0.10%,-0.10%,
GBP::core ppi output::y/y,GBP,Core PPI Output (YoY)  (Dec),dec,2012-01-01,17:00,2.60%,2.60%,,,2.60%,2.60%,
GBP::core rpi::m/m,GBP,Core RPI (MoM)  (Dec),dec,2012-01-01,17:00,0.40%,0.40%,,,0.20%,0.20%,
GBP::core rpi::y/y,GBP,Core RPI (YoY)  (Dec),dec,2012-01-01,17:00,5.00%,5.00%,,,5.30%,5.30%,
GBP::core retail sales::m/m,GBP,Core Retail Sales (MoM)  (Dec),dec,2012-01-01,17:00,0.00%,0.00%,,,-0.60%,-0.60%,
GBP::core retail sales::y/y,GBP,Core Retail Sales (YoY)  (Dec),dec,2012-01-01,17:00,1.00%,1.00%,,,-0.70%,-0.70%,
INR::cumulative industrial production::none,INR,Cumulative Industrial Production  (Dec),dec,2012-01-01,17:00,3.60%,3.60%,,,3.80%,3.80%,
KRW::current account::none,KRW,Current Account  (Dec),dec,2012-01-01,17:00,3.15B,3.15B,,,4.99B,4.99B,
USD::dallas fed mfg business index::none,USD,Dallas Fed Mfg Business Index  (Dec),dec,2012-01-01,17:00,-0.60,-0.60,,,4.20,4.20,
USD::dallas fed pce::none,USD,Dallas Fed PCE  (Dec),dec,2012-01-01,17:00,2.00%,2.00%,,,1.90%,1.90%,
USD::dallas fed services revenues::none,USD,Dallas Fed Services Revenues  (Dec),dec,2012-01-01,17:00,8.80,8.80,,,15.30,15.30,
INR::deposit growth::none,INR,Deposit Growth  (Dec),dec,2012-01-01,17:00,17.61%,17.61%,,,17.46%,17.46%,
USD::domestic truck sales::none,USD,Domestic Truck Sales  (Dec),dec,2012-01-01,17:00,6.17M,6.17M,,,6.00M,6.00M,
USD::durables excluding defense::m/m,USD,Durables Excluding Defense (MoM)  (Dec),dec,2012-01-01,17:00,3.50%,5.70%,3.50%,,4.10%,4.10%,3.70%
USD::eia weekly distillates stocks::none,USD,EIA Weekly Distillates Stocks  (Dec),dec,2012-01-01,17:00,0.81M,0.81M,,,-0.15M,-0.15M,
MXN::economic activity::m/m,MXN,Economic Activity (MoM)  (Dec),dec,2012-01-01,17:00,0.64%,0.64%,,,-0.29%,-0.29%,
