EventId,Date,Time,Period,Actual,Forecast,Previous
NA::japan - new year's day::none,2017-01-01,All Day,,,,
NA::philippines - new year's day::none,2017-01-01,All Day,,,,
NA::ukraine - new year's day::none,2017-01-01,All Day,,,,
KRW::exports::y/y,2017-01-01,08:00,dec,6.4%,6.4%,2.5%
KRW::imports::y/y,2017-01-01,08:00,dec,7.3%,6.8%,9.3%
KRW::trade balance::none,2017-01-01,08:00,dec,7.00B,,8.20B
CNY::manufacturing pmi::none,2017-01-01,09:00,dec,51.4,51.5,51.7
CNY::non - manufacturing pmi::none,2017-01-01,09:00,dec,54.5,,54.7
PEN::cpi::m/m,2017-01-01,14:00,dec,0.33%,0.30%,0.29%
NA::australia - new year's day::none,2017-01-02,All Day,,,,
NA::canada - new year's day::none,2017-01-02,All Day,,,,
NA::china - new year's day::none,2017-01-02,All Day,,,,
NA::hong kong - new year's day::none,2017-01-02,All Day,,,,
NA::indonesia - new year's day::none,2017-01-02,All Day,,,,
NA::ireland - new year's day::none,2017-01-02,All Day,,,,
NA::japan - new year's day::none,2017-01-02,All Day,,,,
NA::new zealand - new year's day::none,2017-01-02,All Day,,,,
NA::philippines - special non working holiday::none,2017-01-02,All Day,,,,
NA::romania - new year's day::none,2017-01-02,All Day,,,,
NA::russia - new year's day::none,2017-01-02,All Day,,,,
NA::singapore - new year's day::none,2017-01-02,All Day,,,,
NA::south africa - new year's day::none,2017-01-02,All Day,,,,
NA::switzerland - new year's day::none,2017-01-02,All Day,,,,
NA::taiwan - new year's day::none,2017-01-02,All Day,,,,
NA::thailand - new year's day::none,2017-01-02,All Day,,,,
NA::ukraine - new year's day::none,2017-01-02,All Day,,,,
NA::united kingdom - new year's day::none,2017-01-02,All Day,,,,
NA::united states - new year's day::none,2017-01-02,All Day,,,,
KRW::s&p global south korea manufacturing pmi::none,2017-01-02,08:30,dec,49.4,,48.0
AUD::aud/usd index::none,2017-01-02,14:30,,56.6%,,49.5%
EUR::eur/usd index::none,2017-01-02,14:30,,41.6%,,35.8%
GBP::gbp/usd index::none,2017-01-02,14:30,,50.0%,,45.7%
USD::gold index::none,2017-01-02,14:30,,58.8%,,57.9%
NZD::nzd/usd index::none,2017-01-02,14:30,,48.9%,,47.6%
CAD::usd/cad index::none,2017-01-02,14:30,,41.1%,,36.4%
CHF::usd/chf index::none,2017-01-02,14:30,,51.8%,,33.9%
JPY::usd/jpy index::none,2017-01-02,14:30,,63.7%,,57.2%
SEK::manufacturing pmi::none,2017-01-02,15:30,dec,60.1,58.0,57.3
EUR::austrian unemployment change::none,2017-01-02,16:00,dec,410.4K,,355.7K
EUR::austrian unemployment rate::none,2017-01-02,16:00,dec,10.3%,,9.0%
HUF::manufacturing pmi::none,2017-01-02,16:00,dec,52.2,,56.3
NOK::manufacturing pmi::none,2017-01-02,16:00,dec,51.4,49.5,47.8
EUR::dutch 3 - month t - bill auction::none,2017-01-02,18:45,,-0.820%,,-0.749%
EUR::dutch 6 - month t - bill auction::none,2017-01-02,18:45,,-0.790%,,-0.728%
EUR::french 12 - month btf auction::none,2017-01-02,22:00,,-0.697%,,-0.665%
EUR::french 3 - month btf auction::none,2017-01-02,22:00,,-0.697%,,-0.741%
EUR::french 6 - month btf auction::none,2017-01-02,22:00,,-0.688%,,-0.715%
NA::japan - new year's day::none,2017-01-03,All Day,,,,
NA::new zealand - new year's day::none,2017-01-03,All Day,,,,
NA::thailand - special holiday::none,2017-01-03,All Day,,,,
NA::ukraine - exchange holiday::none,2017-01-03,All Day,,,,
BRL::trade balance::none,2017-01-03,01:00,dec,4.41B,3.70B,4.76B
ARS::tax revenue::none,2017-01-03,05:00,dec,275.54B,196.00B,182.27B
AUD::aig manufacturing index::none,2017-01-03,06:30,,55.4,,54.2
SGD::gdp::q/q,2017-01-03,08:00,q4,9.1%,3.7%,-1.9%
SGD::gdp::y/y,2017-01-03,08:00,q4,1.8%,0.6%,1.2%
SGD::ura property index::q/q,2017-01-03,08:30,q4,-0.40%,,-1.50%
IDR::foreign tourism::none,2017-01-03,12:00,nov,18.32%,,15.62%
IDR::core inflation::y/y,2017-01-03,12:00,dec,3.07%,3.11%,3.07%
IDR::inflation::m/m,2017-01-03,12:00,dec,0.42%,0.54%,0.47%
IDR::inflation::y/y,2017-01-03,12:00,dec,3.02%,3.10%,3.58%
AUD::commodity prices::y/y,2017-01-03,13:30,,45.5%,,28.7%
TRY::exports::none,2017-01-03,14:30,dec,12.82B,,11.95B
TRY::cpi::m/m,2017-01-03,15:00,dec,1.64%,0.93%,0.52%
TRY::cpi::y/y,2017-01-03,15:00,dec,8.53%,7.60%,7.00%
TRY::ppi::m/m,2017-01-03,15:00,,2.98%,,2.00%
TRY::ppi::y/y,2017-01-03,15:00,,9.94%,,6.41%
EUR::french cpi::m/m,2017-01-03,15:45,dec,0.3%,0.2%,0.0%
EUR::french hicp::m/m,2017-01-03,15:45,dec,0.3%,0.2%,0.0%
EUR::french hicp::y/y,2017-01-03,15:45,dec,0.8%,0.7%,0.7%
HKD::retail sales::y/y,2017-01-03,16:30,nov,-5.5%,,-2.9%
CHF::manufacturing pmi::none,2017-01-03,16:30,dec,56.0,56.1,55.5
EUR::german unemployment::none,2017-01-03,16:55,dec,2.600M,,2.700M
EUR::german unemployment change::none,2017-01-03,16:55,dec,-17K,-5K,-6K
EUR::german unemployment rate::none,2017-01-03,16:55,dec,6.0%,6.0%,6.0%
EUR::german unemployment n.s.a.::none,2017-01-03,16:55,dec,2.600M,,2.532M
EUR::belgium 3 - month t - bill auction::none,2017-01-03,18:40,,-0.782%,,-0.750%
EUR::belgium 6 - month t - bill auction::none,2017-01-03,18:40,,-0.689%,,-0.596%
EUR::latvian industrial production::m/m,2017-01-03,19:00,nov,2.8%,,2.4%
EUR::latvian industrial production::y/y,2017-01-03,19:00,nov,11.0%,,6.7%
EUR::portuguese business confidence::none,2017-01-03,19:00,dec,1.2,,1.2
EUR::portuguese consumer confidence::none,2017-01-03,19:00,dec,-8.20,,-10.50
CZK::budget balance::none,2017-01-03,21:00,dec,61.770B,,55.450B
EUR::german cpi::m/m,2017-01-03,21:00,dec,0.7%,0.6%,0.1%
EUR::german cpi::y/y,2017-01-03,21:00,dec,1.7%,1.5%,0.8%
EUR::german hicp::m/m,2017-01-03,21:00,dec,1.0%,0.6%,0.0%
EUR::german hicp::y/y,2017-01-03,21:00,dec,1.7%,1.3%,0.7%
SGD::s&p global manufacturing pmi::none,2017-01-03,21:00,dec,50.6,,50.2
NZD::globaldairytrade price index::none,2017-01-03,22:10,,-3.9%,,-0.5%
USD::construction spending::m/m,2017-01-03,23:00,nov,0.9%,0.6%,0.6%
USD::ism manufacturing employment::none,2017-01-03,23:00,dec,53.1,52.5,52.3
USD::ism manufacturing new orders index::none,2017-01-03,23:00,dec,60.2,,53.0
USD::ism manufacturing pmi::none,2017-01-03,23:00,dec,54.7,53.6,53.2
USD::ism manufacturing prices::none,2017-01-03,23:00,dec,65.5,55.5,54.5
USD::3 - month bill auction::none,2017-01-04,00:30,,0.530%,,0.555%
USD::4 - week bill auction::none,2017-01-04,00:30,,0.475%,,0.485%
USD::52 - week bill auction::none,2017-01-04,00:30,,0.870%,,0.830%
USD::6 - month bill auction::none,2017-01-04,00:30,,0.630%,,0.660%
KRW::fx reserves - usd::none,2017-01-04,05:00,dec,371.10B,,371.99B
KRW::current account::none,2017-01-04,07:00,nov,7.14B,,6.01B
GBP::brc shop price index::y/y,2017-01-04,08:00,,-1.4%,,-1.7%
THB::cpi::y/y,2017-01-04,12:00,dec,1.13%,1.13%,0.60%
THB::core cpi::y/y,2017-01-04,12:00,dec,0.74%,0.76%,0.72%
EUR::estonian industrial production::m/m,2017-01-04,14:00,nov,1.50%,,-0.80%
EUR::estonian industrial production::y/y,2017-01-04,14:00,nov,9.30%,,2.00%
BRL::ipc - fipe inflation index::m/m,2017-01-04,15:00,dec,0.72%,0.50%,0.15%
SEK::services pmi::m/m,2017-01-04,15:30,dec,59.9,,59.8
EUR::french consumer confidence::none,2017-01-04,15:45,dec,99,99,99
HUF::ppi::y/y,2017-01-04,16:00,nov,-0.5%,,-1.2%
EUR::spanish unemployment change::none,2017-01-04,16:00,,-86.8K,-44.2K,24.8K
GBP::boe consumer credit::none,2017-01-04,17:30,nov,1.926B,1.600B,1.683B
GBP::m4 money supply::m/m,2017-01-04,17:30,nov,0.4%,1.4%,1.1%
GBP::mortgage approvals::none,2017-01-04,17:30,nov,67.50K,67.40K,67.37K
GBP::mortgage lending::none,2017-01-04,17:30,nov,3.20B,3.50B,3.20B
GBP::net lending to individuals::none,2017-01-04,17:30,,5.1B,4.9B,4.9B
EUR::cpi::y/y,2017-01-04,18:00,dec,1.1%,1.0%,0.6%
EUR::core cpi::y/y,2017-01-04,18:00,dec,0.9%,0.8%,0.8%
NOK::house price index::y/y,2017-01-04,18:00,dec,12.80%,,11.60%
EUR::italian cpi::m/m,2017-01-04,18:00,dec,0.4%,0.3%,-0.1%
EUR::italian cpi::y/y,2017-01-04,18:00,dec,0.5%,,0.1%
EUR::italian hicp::m/m,2017-01-04,18:00,dec,0.4%,0.3%,-0.2%
EUR::italian hicp::y/y,2017-01-04,18:00,dec,0.5%,0.4%,0.1%
EUR::greece 6 - month t - bill auction::none,2017-01-04,18:20,,2.97%,,2.97%
INR::m3 money supply (2wk)::none,2017-01-04,19:30,,6.5%,,7.1%
USD::mba 30 - year mortgage rate::none,2017-01-04,20:00,,4.39%,,4.41%
USD::mba mortgage applications::w/w,2017-01-04,20:00,,0.1%,,2.5%
USD::mba purchase index::none,2017-01-04,20:00,,228.0,,232.9
USD::mortgage market index::none,2017-01-04,20:00,,358.5,,407.3
USD::mortgage refinance index::none,2017-01-04,20:00,,"1,132.0",,"1,449.4"
USD::redbook::m/m,2017-01-04,21:55,,1.0%,,0.8%
USD::redbook::y/y,2017-01-04,21:55,,2.2%,,2.1%
BRL::foreign exchange flows::none,2017-01-04,22:30,,-1.09B,,4.99B
USD::ism - new york index::none,2017-01-04,22:45,dec,727.4,,720.5
NA::sweden - twelfth night - early close at 13:00::none,2017-01-05,,,,,
